date,views,unique_visitors
2026-04-29,49,7
2026-04-30,56,5
2026-05-01,39,4
2026-05-02,30,4
2026-05-03,1,1
2026-05-04,22,7
2026-05-05,69,10
2026-05-06,21,5
2026-05-07,97,9
2026-05-08,22,5
2026-05-09,3,1
2026-05-10,1,1
2026-05-11,55,7
2026-05-12,41,9
2026-05-13,85,13
2026-05-14,44,6
2026-05-15,30,3
2026-05-16,3,3
2026-05-17,10,5
2026-05-18,60,6
2026-05-19,19,6
2026-05-20,33,8
2026-05-21,21,6
2026-05-22,18,6
2026-05-23,5,3
2026-05-24,4,2
2026-05-25,9,3
2026-05-26,9,4
2026-05-27,41,5
2026-05-28,21,6
2026-05-29,41,9
2026-05-30,21,4
2026-05-31,2,2
2026-06-01,26,4
2026-06-02,65,9
2026-06-03,11,5
2026-06-04,33,6
